disease_id,disease_name,source
OMIM:202010,"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency",HPO_root
OMIM:202110,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency",HPO_root
OMIM:201910,"Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency",HPO_root
OMIM:201810,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HPO_root
OMIM:300200,"Adrenal hypoplasia, congenital",HPO_root
OMIM:202150,"Adrenal hypoplasia, congenital, with absent pituitary luteinizinghormone",HPO_root
OMIM:613743,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",HPO_root
ORPHA:1501,Adrenocortical carcinoma,HPO_root
ORPHA:231625,Adrenocortical carcinoma with pure aldosterone hypersecretion,HPO_root
OMIM:202300,"Adrenocortical carcinoma, pediatric",HPO_root
OMIM:202355,Adrenocortical unresponsiveness to acth with postreceptor defect,HPO_root
OMIM:300100,Adrenoleukodystrophy,HPO_root
ORPHA:139399,Adrenomyeloneuropathy,HPO_root
ORPHA:977,Adrenomyodystrophy,HPO_root
ORPHA:206448,Adult Krabbe disease,HPO_root
ORPHA:773,Adult Refsum disease,HPO_root
ORPHA:70578,Adult acute respiratory distress syndrome,HPO_root
ORPHA:2688,Adult idiopathic neutropenia,HPO_root
ORPHA:178487,Adult intestinal botulism,HPO_root
ORPHA:206583,Adult polyglucosan body disease,HPO_root
OMIM:103285,Adult syndrome,HPO_root
