Disease,OMIMID,PhenotypeClass
"arthrogryposis, distal, type 5d",OMIM:615065,3
"arthrogryposis, renal dysfunction, and cholestasis 1",OMIM:208085,3
"arthrogryposis, renal dysfunction, and cholestasis 2",OMIM:613404,3
"arthyrgryposis, distal, type 2b",OMIM:601680,3
asparagine synthetase deficiency,OMIM:615574,3
"aspartate aminotransferase, serum level of, qtl1",OMIM:614419,3
aspartylglucosaminuria,OMIM:208400,3
"asplenia, isolated congenital",OMIM:271400,3
ataxia with isolated vitamin e deficiency,OMIM:277460,3
"ataxia, cerebellar, cayman type",OMIM:601238,3
"ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia",OMIM:208920,3
"ataxia, posterior column, with retinitis pigmentosa",OMIM:609033,3
"ataxia, sensory, 1, autosomal dominant",OMIM:608984,3
"ataxia, spastic, 4",OMIM:613672,3
"amyotrophic lateral sclerosis 4, juvenile",OMIM:602433,3
ataxia-ocular apraxia-2,OMIM:606002,3
ataxia-oculomotor apraxia 3,OMIM:615217,3
ataxia-telangiectasia-like disorder,OMIM:604391,3
atransferrinemia,OMIM:209300,3
"atrial fibrillation, familial, 1",OMIM:608583,2
"atrial fibrillation, familial, 14",OMIM:615378,3
"atrial fibrillation, familial, 2",OMIM:608988,2
"atrial fibrillation, familial, 7",OMIM:612240,3
"atrial fibrillation, familial, 8",OMIM:613055,2
atrial septal defect 1,OMIM:108800,2
atrial septal defect 4,OMIM:611363,3
atrial septal defect 6,OMIM:613087,3
"atrial fibrillation, familial, 6",OMIM:612201,3
atrial standstill 2,OMIM:615745,3
"atrial fibrillation, familial, 11",OMIM:614049,3
"atrial standstill, digenic (gja5/scn5a)",OMIM:108770,3
"auditory neuropathy, autosomal dominant, 1",OMIM:609129,3
"aural atresia, congenital",OMIM:607842,3
auriculocondylar syndrome 1,OMIM:602483,3
auriculocondylar syndrome 2,OMIM:614669,3
"autoimmune disease, multisystem, with facial dysmorphism",OMIM:613385,3
?familial cold autoinflammatory syndrome 4,OMIM:616115,3
autoinflammation with infantile enterocolitis,OMIM:616050,3
"autoinflammation, lipodystrophy, and dermatosis syndrome",OMIM:256040,3
"b-cell non-hodgkin lymphoma, high-grade",-666,3
bainbridge-ropers syndrome,OMIM:615485,3
bamforth-lazarus syndrome,OMIM:241850,3
band-like calcification with simplified gyration and polymicrogyria,OMIM:251290,3
bardet-biedl syndrome 1,OMIM:209900,3
bardet-biedl syndrome 10,OMIM:615987,3
bardet-biedl syndrome 12,OMIM:615989,3
bardet-biedl syndrome 17,OMIM:615994,3
bardet-biedl syndrome 2,OMIM:615981,3
bardet-biedl syndrome 4,OMIM:615982,3
bardet-biedl syndrome 5,OMIM:615983,3
bardet-biedl syndrome 7,OMIM:615984,3
?retinitis pigmentosa 51,OMIM:613464,3
bardet-biedl syndrome 8,OMIM:615985,3
bardet-biedl syndrome 9,OMIM:615986,3
"bare lymphocyte syndrome, type i",OMIM:604571,3
barth syndrome,OMIM:302060,3
"bartter syndrome, type 1",OMIM:601678,3
"bartter syndrome, type 2",OMIM:241200,3
"bartter syndrome, type 3",OMIM:607364,3
"bartter syndrome, type 4b, digenic",OMIM:613090,3
"basal ganglia calcification, idiopathic, 1",OMIM:213600,3
"basal ganglia calcification, idiopathic, 2",OMIM:606656,2
bazex syndrome,OMIM:301845,2
beaulieu-boycott-innes syndrome,OMIM:613680,3
"bernard-soulier syndrome, type c",OMIM:231200,3
beta-ureidopropionase deficiency,OMIM:613161,3
bietti crystalline corneoretinal dystrophy,OMIM:210370,3
"bile acid malabsorption, primary",OMIM:613291,3
"bile acid synthesis defect, congenital, 1",OMIM:607765,3
"bile acid synthesis defect, congenital, 2",OMIM:235555,3
alpha-methylacyl-coa racemase deficiency,OMIM:614307,3
"bile acid synthesis defect, congenital, 4",OMIM:214950,3
"biliary cirrhosis, primary, 4",OMIM:614220,2
"biliary cirrhosis, primary, 5",OMIM:614221,2
biotinidase deficiency,OMIM:253260,3
birk-barel mental retardation dysmorphism syndrome,OMIM:612292,3
bleeding disorder due to p2rx1 defect,-666,3
"bleeding disorder, east texas type",OMIM:605913,2
"bleeding disorder, platelet-type, 11",OMIM:614201,3
"bleeding disorder, platelet-type, 15",OMIM:615193,3
"bleeding disorder, platelet-type, 17",OMIM:187900,3
"bleeding disorder, platelet-type, 8",OMIM:609821,3
blepharophimosis-ptosis-intellectual disability syndrome,OMIM:615057,3
bloom syndrome,OMIM:210900,3
bone marrow failure syndrome 1,OMIM:614675,3
bone marrow failure syndrome 2,OMIM:615715,3
"bone mineral density qtl18, osteoporosis",OMIM:300910,3
bor-duane hydrocephalus contiguous gene syndrome,-666,4
borjeson-forssman-lehmann syndrome,OMIM:301900,3
bornholm eye disease,OMIM:300843,2
bosch-boonstra-schaaf optic atrophy syndrome,OMIM:615722,3
athabaskan brainstem dysgenesis syndrome,OMIM:601536,3
bosley-salih-alorainy syndrome,OMIM:601536,3
bowen-conradi syndrome,OMIM:211180,3
acrocapitofemoral dysplasia,OMIM:607778,3
"brachydactyly, type a1",OMIM:112500,3
"brachydactyly, type a1, b",OMIM:607004,2
brachydactyly-mental retardation syndrome,OMIM:600430,3
brachyolmia 4 with mild epiphyseal and metaphyseal changes,OMIM:612847,3
bradyopsia,OMIM:608415,3
branched-chain ketoacid dehydrogenase kinase deficiency,OMIM:614923,3
branchiooculofacial syndrome,OMIM:113620,3
branchiootic syndrome 2,OMIM:120502,2
?otofaciocervical syndrome,OMIM:166780,3
branchiootic syndrome 1,OMIM:602588,3
"branchiootorenal syndrome 1, with or without cataracts",OMIM:113650,3
anterior segment anomalies with or without cataract,OMIM:113650,3
branchiootorenal syndrome 2,OMIM:610896,3
"breast cancer, 11:22 translocation associated",OMIM:600048,1
brown-vialetto-van laere syndrome 2,OMIM:614707,3
bruck syndrome 1,OMIM:259450,2
bruck syndrome 2,OMIM:609220,3
brugada syndrome 2,OMIM:611777,3
brugada syndrome 4,OMIM:611876,3
brugada syndrome 6,OMIM:613119,3
"atrial fibrillation, familial, 16",OMIM:613120,3
brugada syndrome 7,OMIM:613120,3
brunner syndrome,OMIM:300615,3
burkitt lymphoma,OMIM:113970,3
burn-mckeown syndrome,OMIM:608572,3
c syndrome,OMIM:211750,3
c1q deficiency,OMIM:613652,3
"c1r/c1s deficiency, combined",OMIM:216950,1
c1s deficiency,OMIM:613783,3
"?systemic lupus erythematosus, susceptibility to or protection against}",OMIM:152700,2
"[blood group, rodgers]",OMIM:614374,3
c4a deficiency,OMIM:614380,3
c4b deficiency,OMIM:614379,3
"[eculizumab, poor response to]",OMIM:615749,3
c5 deficiency,OMIM:609536,3
c7 deficiency,OMIM:610102,3
"c8 deficiency, type i",OMIM:613790,3
"c8 deficiency, type ii",OMIM:613789,3
calcification of joints and arteries,OMIM:211800,3
acampomelic campomelic dysplasia,OMIM:114290,3
campomelic dysplasia,OMIM:114290,3
campomelic dysplasia with autosomal sex reversal,OMIM:114290,3
camptodactyly 1,OMIM:114200,2
camptodactyly-arthropathy-coxa vara-pericarditis syndrome,OMIM:208250,3
canavan disease,OMIM:271900,3
"candidiasis, familial, 1, autosomal dominant",-666,2
"candidiasis, familial, 2, autosomal recessive",OMIM:212050,3
"candidiasis, familial, 5, autosomal recessive",OMIM:613953,3
"candidiasis, familial, 6, autosomal dominant",OMIM:613956,3
carboxylesterase 1 deficiency,-666,3
carboxypeptidase n deficiency,OMIM:212070,3
brittle cornea syndrome 1,OMIM:229200,3
cardiofaciocutaneous syndrome 3,OMIM:615279,3
cardiofaciocutaneous syndrome 4,OMIM:615280,3
"cardiomyopathy, dilated 1b",OMIM:600884,2
arrhythmogenic right ventricular dysplasia 10,OMIM:610193,3
"cardiomyopathy, dilated, 1bb",OMIM:612877,3
"cardiomyopathy, dilated, 1dd",OMIM:613172,3
"cardiomyopathy, dilated, 1f and limb-girdle muscular dystrophy type 1d",-666,2
"cardiomyopathy, dilated, 1h",OMIM:604288,2
"cardiomyopathy, dilated, 1jj",OMIM:615235,3
"cardiomyopathy, dilated, 1k",OMIM:605582,2
"cardiomyopathy, dilated, 1q",OMIM:609915,2
alzheimer disease-4,OMIM:606889,3
"cardiomyopathy, dilated, 1v",OMIM:613697,3
"cardiomyopathy, dilated, 2b",OMIM:614672,3
"cardiomyopathy, familial hypertrophic 17",OMIM:613873,3
"cardiomyopathy, familial hypertrophic, 10",OMIM:608758,3
"cardiomyopathy, dilated, 1m",OMIM:607482,3
"cardiomyopathy, familial hypertrophic, 12",OMIM:612124,3
"cardiomyopathy, dilated, 1z",OMIM:611879,3
"cardiomyopathy, familial hypertrophic, 13",OMIM:613243,3
"cardiomyopathy, dilated, 1w",OMIM:611407,3
"cardiomyopathy, familial hypertrophic, 15",OMIM:613255,3
"cardiomyopathy, familial hypertrophic, 16",OMIM:613838,3
"cardiomyopathy, dilated, 1p",OMIM:609909,3
"cardiomyopathy, familial hypertrophic, 18",OMIM:613874,3
"cardiomyopathy, familial hypertrophic, 19",OMIM:613875,3
"cardiomyopathy, dilated, 1cc",OMIM:613122,3
"cardiomyopathy, familial hypertrophic, 20",OMIM:613876,3
"cardiomyopathy, familial hypertrophic, 21",OMIM:614676,2
"cardiomyopathy, familial hypertrophic, 8",OMIM:608751,3
"cardiomyopathy, dilated, 1ff",OMIM:613286,3
"cardiomyopathy, familial hypertrophic, 7",OMIM:613690,3
"cardiomyopathy, familial restrictive, 1",OMIM:115210,3
"cardiomyopathy, dilated, 2a",OMIM:611880,3
"cardiomyopathy, familial restrictive, 2",OMIM:609578,2
"cardiomyopathy, dilated, 1kk",OMIM:615248,3
"cardiomyopathy, familial hypertrophic, 22",OMIM:615248,3
"cardiomyopathy, familial restrictive, 4",OMIM:615248,3
"cardiomyopathy, hypertrophic, midventricular, digenic",OMIM:192600,3
"carney complex, type ii",-666,2
"carnitine deficiency, systemic primary",OMIM:212140,3
carnitine-acylcarnitine translocase deficiency,OMIM:212138,3
carnosinemia,OMIM:212200,2
carotid intimal medial thickness,-666,2
[dystransthyretinemic hyperthyroxinemia],OMIM:145680,3
"amyloidosis, hereditary, transthyretin-related",OMIM:105210,3
"carpal tunnel syndrome, familial",OMIM:115430,3
carpenter syndrome,OMIM:201000,3
carpenter syndrome 2,OMIM:614976,3
cat eye syndrome,OMIM:115470,4
"cataract 1, multiple types",OMIM:116200,3
"cataract 10, multiple types",OMIM:600881,3
anterior segment mesenchymal dysgenesis,OMIM:107250,3
"cataract 11, multiple types",OMIM:610623,3
"cataract 11, syndromic",OMIM:610623,3
"aphakia, congenital primary",OMIM:610256,3
"cataract 12, multiple types",OMIM:611597,3
"cataract 14, multiple types",OMIM:601885,3
"cataract 15, multiple types",OMIM:615274,3
"cataract 17, multiple types",OMIM:611544,3
"cataract 18, autosomal recessive",OMIM:610019,3
cataract 19,OMIM:615277,3
"cataract 2, multiple types",OMIM:604307,3
"cataract 20, multiple types",OMIM:116100,3
"cataract 22, autosomal recessive",OMIM:609741,3
cataract 23,OMIM:610425,3
cataract 25,OMIM:605728,2
"cataract 27, nuclear progressive",-666,2
"cataract 29, coralliform",-666,2
"cataract 3, multiple types",OMIM:601547,3
"cataract 30, pulverulent",OMIM:116300,3
"cataract 31, multiple types",OMIM:605387,3
cataract 33,OMIM:611391,3
"cataract 34, multiple types",OMIM:612968,2
"cataract 35, congenital nuclear",-666,2
cataract 36,OMIM:613887,3
"cataract 37, autosomal dominant",-666,2
"cataract 39, multiple types, autosomal dominant",OMIM:615188,3
"cataract 4, multiple types",OMIM:115700,3
"cataract 5, multiple types",OMIM:116800,3
"cataract 6, multiple types",OMIM:116600,3
"cataract 9, multiple types",OMIM:604219,3
"cataract, juvenile, with microcornea and glucosuria",OMIM:612018,3
"cataract, pulverulent or cerulean, with or without microcornea",OMIM:610202,3
apparent mineralocorticoid excess,OMIM:218030,3
cavitary optic disc anomalies,OMIM:611543,2
cayler cardiofacial syndrome,OMIM:125520,2
"cd8 deficiency, familial",OMIM:608957,3
cdags syndrome,OMIM:603116,2
centronuclear myopathy 5,OMIM:615959,3
centrotemporal epilepsy,-666,2
cerebellar ataxia and hypogonadotropic hypogonadism,OMIM:212840,3
cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3,OMIM:613227,3
"cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2",OMIM:610185,3
"cerebellar ataxia, nonprogressive, with mental retardation",OMIM:614756,3
cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1,OMIM:224050,3
"alzheimer disease 1, familial",OMIM:104300,3
"cerebral amyloid angiopathy, dutch, italian, iowa, flemish, arctic variants",OMIM:605714,3
"?myofibromatosis, infantile 2",OMIM:615293,3
cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,OMIM:125310,3
cerebral cavernous malformations 3,OMIM:603285,3
cerebral cavernous malformations-2,OMIM:603284,3
cerebral creatine deficiency syndrome 1,OMIM:300352,3
cerebral creatine deficiency syndrome 2,OMIM:612736,3
cerebral creatine deficiency syndrome 3,OMIM:612718,3
"cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome",OMIM:609528,3
"cerebral palsy, spastic quadriplegic, 1",OMIM:603513,3
"cerebral palsy, spastic quadriplegic, 2",OMIM:612900,3
"cerebral-cerebellar-coloboma syndrome, x-linked",OMIM:300864,2
cerebrooculofacioskeletal syndrome 4,OMIM:610758,3
cerebroretinal microangiopathy with calcifications and cysts,OMIM:612199,3
cerebrotendinous xanthomatosis,OMIM:213700,3
alpha-1-antichymotrypsin deficiency,-666,3
"cerebrovascular disease, occlusive",-666,3
"ceroid lipofuscinosis, neuronal, 1",OMIM:256730,3
"ceroid lipofuscinosis, neuronal, 10",OMIM:610127,3
"ceroid lipofuscinosis, neuronal, 13, kufs type",OMIM:615362,3
"ceroid lipofuscinosis, neuronal, 3",OMIM:204200,3
"ceroid lipofuscinosis, neuronal, 4, parry type",OMIM:162350,3
"ceroid lipofuscinosis, neuronal, 5",OMIM:256731,3
"ceroid lipofuscinosis, neuronal, 8",OMIM:600143,3
"ceroid lipofuscinosis, neuronal, 8, northern epilepsy variant",OMIM:610003,3
"ceroid lipofuscinosis, neuronal, 6",OMIM:601780,3
"ceroid lipofuscinosis, neuronal, kufs type, adult onset",OMIM:204300,3
apolipoprotein c-iii deficiency,OMIM:614028,3
cervical carcinoma,-666,2
chanarin-dorfman syndrome,OMIM:275630,3
char syndrome,OMIM:169100,3
"charcot-marie-tooth disease, axonal, type 2g",OMIM:608591,2
"charcot-marie-tooth disease, axonal, type 2n",OMIM:613287,3
"charcot-marie-tooth disease, dominant intermediate a",OMIM:606483,2
"charcot-marie-tooth disease, dominant intermediate c",OMIM:608323,3
"charcot-marie-tooth disease, dominant intermediate f",OMIM:615185,3
"charcot-marie-tooth disease, recessive intermediate d",OMIM:616039,3
"charcot-marie-tooth disease, type 1c",OMIM:601098,3
"charcot-marie-tooth disease, type 2b",OMIM:600882,3
"charcot-marie-tooth disease, type 2b2",OMIM:605589,3
"charcot-marie-tooth disease, axonal, type 2k",OMIM:607831,3
"charcot-marie-tooth disease, recessive intermediate, a",OMIM:608340,3
"charcot-marie-tooth disease, type 4a",OMIM:214400,3
"charcot-marie-tooth disease, axonal, with vocal cord paresis",OMIM:607706,3
"charcot-marie-tooth disease, type 4b1",OMIM:601382,3
"charcot-marie-tooth disease, type 4b2",OMIM:604563,3
"charcot-marie-tooth disease, type 4d",OMIM:601455,3
"charcot-marie-tooth neuropathy, x-linked dominant, 1",OMIM:302800,3
"charcot-marie-tooth neuropathy, x-linked recessive, 2",-666,2
"charcot-marie-tooth neuropathy, x-linked recessive, 3",-666,2
"charcot-marie-toothe disease, axonal, type 2p",OMIM:614436,3
chediak-higashi syndrome,OMIM:214500,3
cherubism,OMIM:118400,3
aicardi-goutieres syndrome 5,OMIM:612952,3
chilblain lupus 2,OMIM:614415,3
chime syndrome,OMIM:280000,3
choanal atresia and lymphedema,OMIM:613611,3
"cholangitis, primary sclerosing",OMIM:613806,2
"cholestasis, progressive canalicular",-666,1
"cholestasis, benign recurrent intrahepatic",OMIM:243300,3
"cholestasis, intrahepatic, of pregnancy, 1",OMIM:147480,3
"cholestasis, progressive familial intrahepatic 1",OMIM:211600,3
"cholestasis, benign recurrent intrahepatic, 2",OMIM:605479,3
"cholestasis, progressive familial intrahepatic 2",OMIM:601847,3
chondrocalcinosis with early-onset osteoarthritis,-666,2
"chondrodysplasia punctata, rhizomelic, type 2",OMIM:222765,3
"chondrodysplasia punctata, x-linked dominant",OMIM:302960,3
"chondrodysplasia punctata, x-linked recessive",OMIM:302950,3
"chondrodysplasia with joint dislocations, grapp type",OMIM:614078,3
"chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia",OMIM:300863,3
"chondrosarcoma, extraskeletal myxoid",OMIM:612237,1
choreoacanthocytosis,OMIM:200150,3
choroideremia,OMIM:303100,3
"choroideremia, deafness, and mental retardation",OMIM:303110,4
chromosome 10q26 deletion syndrome,OMIM:609625,4
chromosome 11p15-p14 deletion syndrome,-666,4
chromosome 13q14 deletion syndrome,OMIM:613884,4
chromosome 14q11-q22 deletion syndrome,OMIM:613457,4
chromosome 15q11.2 deletion syndrome,OMIM:615656,4
chromosome 15q13.3 microdeletion syndrome,-666,4
chromosome 15q24 deletion syndrome,-666,4
chromosome 15q25 deletion syndrome,OMIM:614294,4
chromosome 15q26-qter deletion syndrome,OMIM:612626,4
[body mass index qtl16],-666,4
"chromosome 16p11.2 deletion syndrome, 220kb",-666,4
chromosome 16p12.2-p11.2 deletion syndrome,-666,4
chromosome 16p13.3 deletion syndrome,-666,4
chromosome 16p13.3 duplication syndrome,OMIM:613458,4
chromosome 16q22 deletion syndrome,OMIM:614541,4
chromosome 17p13.1 deletion syndrome,OMIM:613776,4
chromosome 17p13.3 duplication syndrome,-666,4
"chromosome 17q11.2 deletion syndrome, 1.4mb",OMIM:613675,4
chromosome 17q12 deletion syndrome,OMIM:614527,4
chromosome 17q12 duplication syndrome,OMIM:614526,4
chromosome 17q21.31 duplication syndrome,OMIM:613533,4
chromosome 17q23.1-q23.2 deletion syndrome,OMIM:613355,4
chromosome 17q23.1-q23.2 duplication syndrome,OMIM:613618,4
chromosome 18 pericentric inversion,OMIM:609334,4
chromosome 18p deletion syndrome,OMIM:146390,4
chromosome 18q deletion syndrome,OMIM:601808,4
chromosome 19p13.13 deletion syndrome,-666,4
chromosome 19p13.13 duplication syndrome,-666,4
chromosome 19q13.11 deletion syndrome,OMIM:613026,4
chromosome 1p32-p31 deletion syndrome,OMIM:613735,4
chromosome 1p36 deletion syndrome,OMIM:607872,4
chromosome 1q21.1 deletion syndrome,-666,4
chromosome 1q21.1 duplication syndrome,OMIM:612475,4
chromosome 1q41-q42 deletion syndrome,OMIM:612530,4
chromosome 1q43-q44 deletion syndrome,-666,4
"chromosome 22q11.2 deletion syndrome, distal",OMIM:611867,4
chromosome 22q11.2 microduplication syndrome,-666,4
chromosome 22q13 duplication syndrome,OMIM:615538,4
chromosome 2p12-p11.2 deletion syndrome,OMIM:613564,4
chromosome 2p16.1-p15 deletion syndrome,OMIM:612513,4
chromosome 2q31.1 duplication syndrome,OMIM:613681,4
chromosome 2q31.2 deletion syndrome,OMIM:612345,4
chromosome 3q13.31 deletion syndrome,OMIM:615433,4
chromosome 3q29 microdeletion syndrome,-666,4
chromosome 3q29 microduplication syndrome,-666,4
chromosome 4q21 deletion syndrome,OMIM:613509,4
chromosome 4q32.1-q32.2 triplication syndrome,OMIM:613603,4
chromosome 5p13 duplication syndrome,OMIM:613174,4
chromosome 5q12 deletion sydrome,-666,4
chromosome 6pter-p24 deletion syndrome,OMIM:612582,4
chromosome 6q11-q14 deletion syndrome,-666,4
chromosome 6q25-q25 deletion syndrome,-666,4
"chromosome 7q11.23 deletion syndrome, distal, 1.2mb",OMIM:613729,4
chromosome 7q11.23 duplication syndrome,-666,4
chromosome 8p11 myeloproliferative syndrome,OMIM:613523,4
chromosome 8q21.11 deletion syndrome,OMIM:614230,4
chromosome 9p deletion syndrome,OMIM:158170,4
chromosome xp11.23-p11.22 duplication syndrome,OMIM:300801,4
chromosome xp11.3 deletion syndrome,OMIM:300578,4
chromosome xp21 deletion syndrome,OMIM:300679,4
