gene_id,gene_name
NCBIGene:1147,CHUK
NCBIGene:10519,CIB1
NCBIGene:10518,CIB2
NCBIGene:137392,CIBAR1
NCBIGene:23152,CIC
NCBIGene:63924,CIDEC
NCBIGene:4261,CIITA
NCBIGene:22858,CILK1
NCBIGene:100128908,CIROP
NCBIGene:148345,CIROZ
NCBIGene:493856,CISD2
NCBIGene:11113,CIT
NCBIGene:10370,CITED2
NCBIGene:25792,CIZ1
NCBIGene:150468,CKAP2L
NCBIGene:22802,CLCA4
NCBIGene:23155,CLCC1
NCBIGene:23529,CLCF1
NCBIGene:1180,CLCN1
NCBIGene:1181,CLCN2
NCBIGene:1182,CLCN3
NCBIGene:1183,CLCN4
NCBIGene:1184,CLCN5
NCBIGene:1185,CLCN6
NCBIGene:1186,CLCN7
NCBIGene:1187,CLCNKA
NCBIGene:1188,CLCNKB
NCBIGene:9076,CLDN1
NCBIGene:9071,CLDN10
NCBIGene:5010,CLDN11
NCBIGene:23562,CLDN14
NCBIGene:10686,CLDN16
NCBIGene:149461,CLDN19
NCBIGene:9075,CLDN2
NCBIGene:9080,CLDN9
NCBIGene:7123,CLEC3B
NCBIGene:64581,CLEC7A
NCBIGene:1193,CLIC2
