GeneSym	OMIMID	GeneID
CMD1H	OMIM:604288	23459
CMD1K	OMIM:605582	65014
CMD1Q	OMIM:609915	664728
CMH21	OMIM:614676	100909387
CMM	OMIM:155600	1243
CMM4	OMIM:608035	474388
CMM7	OMIM:612263	100190932
CMS1A1	OMIM:605809	8144
CMT2G	OMIM:608591	431712
CMTDIA	OMIM:606483	387574
CMTX2	OMIM:302801	1253
CMTX3	OMIM:302802	1254
CNBP	OMIM:116955	7555
CNC2	OMIM:605244	1257
CND	OMIM:304730	8231
CNGA1	OMIM:123825	1259
CNGA3	OMIM:600053	1261
CNGB1	OMIM:600724	1258
CNGB3	OMIM:605080	54714
CNNM2	OMIM:607803	54805
CNNM4	OMIM:607805	26504
CNSN	OMIM:212200	8173
CNTN1	OMIM:600016	1272
CNTN2	OMIM:190197	6900
CNTNAP2	OMIM:604569	26047
COASY	OMIM:609855	80347
COCH	OMIM:603196	1690
COD2	OMIM:300085	1275
CODA	OMIM:611543	100188845
COG1	OMIM:606973	9382
COG4	OMIM:606976	25839
COG5	OMIM:606821	10466
COG6	OMIM:606977	57511
COG7	OMIM:606978	91949
COG8	OMIM:606979	84342
COL10A1	OMIM:120110	1300
COL18A1	OMIM:120328	80781
COL1A2	OMIM:120160	1278
COL27A1	OMIM:608461	85301
COL11A2	OMIM:120290	1302
COL2A1	OMIM:120140	1280
COL3A1	OMIM:120180	1281
COL4A1	OMIM:120130	1282
COL4A2	OMIM:120090	1284
COL4A3	OMIM:120070	1285
COL4A4	OMIM:120131	1286
COL4A5	OMIM:303630	1287
COL4A6	OMIM:303631	1288
COL6A1	OMIM:120220	1291
COL6A3	OMIM:120250	1293
COL6A2	OMIM:120240	1292
COL7A1	OMIM:120120	1294
COL8A2	OMIM:120252	1296
COL9A1	OMIM:120210	1297
COL9A2	OMIM:120260	1298
COL9A3	OMIM:120270	1299
COLEC11	OMIM:612502	78989
COLQ	OMIM:603033	8292
COMA	OMIM:257550	266710
COMP	OMIM:600310	1311
COPD	OMIM:606963	260431
COQ2	OMIM:609825	27235
COQ6	OMIM:614647	51004
COQ9	OMIM:612837	57017
CORD1	OMIM:600624	1319
CORD17	OMIM:615163	101409267
CORD8	OMIM:605549	54109
CORIN	OMIM:605236	10699
CORO1A	OMIM:605000	11151
COX15	OMIM:603646	1355
COX4I2	OMIM:607976	84701
COX6A1	OMIM:602072	1337
COX7B	OMIM:300885	1349
CP	OMIM:117700	1356
